,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
1,2,1,1,20,8,13,8,145,18,19,8,0.52119863,0.506052632,0.4118,0.654777778,3,5,6,3,76.095,9.615,8.236,5.893,4.25,0.5,17,0,-1,0,H
2,2,1,2,15,2,10,8,22,1,10,10,0.398173913,0.7915,0.533,0.353545455,5,5,5,5,9.158,1.583,5.863,3.889,5,0.5,60,0,-1,0,H
3,2,2,3,16,4,15,5,32,4,25,7,0.224151515,0.3104,0.158807692,0.67075,2,2,2,3,7.397,1.552,4.129,5.366,2.25,0.5,15,0,-1,0,H
4,2,2,4,20,3,15,11,53,2,24,21,0.276259259,0.301,0.32432,0.528954545,2,2,2,4,14.918,0.903,8.108,11.637,2.5,0.5,16,0,-1,0,H
5,2,3,5,13,10,2,18,21,10,1,24,0.871318182,0.366818182,1.033,0.28404,2,5,5,6,19.169,4.035,2.066,7.101,4.5,0,18,0,-1,0,H
6,2,3,6,18,7,15,9,38,9,20,16,0.236615385,0.2533,0.336904762,0.533470588,6,4,4,5,9.228,2.533,7.075,9.069,4.75,0,19,0,-1,0,H
7,2,4,7,7,12,12,6,8,22,17,7,0.325444444,0.321565217,0.385777778,0.538,5,5,3,6,2.929,7.396,6.944,4.304,4.75,0,19,0,-1,0,H
8,2,4,8,13,11,8,17,27,10,8,29,0.239571429,0.469090909,0.251555556,0.356566667,2,4,5,4,6.708,5.16,2.264,10.697,3.75,0,15,0,-1,0,H
9,2,5,9,17,20,19,20,25,100,24,75,0.247769231,0.379881188,0.32136,0.393013158,3,3,3,3,6.442,38.368,8.034,29.869,3,0.75,36,0,-1,0,H
10,2,5,10,16,2,2,20,41,1,1,59,0.2085,0.232,0.9875,0.285116667,2,2,2,4,8.757,0.464,1.975,17.107,2.5,0.75,16,0,-1,0,H
11,2,6,11,20,15,5,11,93,33,6,15,0.203744681,0.2165,0.395857143,0.518125,6,6,4,5,19.152,7.361,2.771,8.29,5.25,0.5,21,0,-1,0,H
12,2,6,12,16,2,4,3,40,1,3,2,0.269926829,0.4705,0.44975,0.383666667,2,2,2,2,11.067,0.941,1.799,1.151,2,0.5,24,0,-1,0,H
13,2,7,13,18,3,2,2,46,2,1,1,0.181382979,0.393333333,0.605,0.197,2,2,2,2,8.525,1.18,1.21,0.394,2,0.75,24,0,-1,0,H
14,2,7,14,20,5,4,3,52,6,3,3,0.271301887,0.217285714,0.43425,0.57675,2,2,2,3,14.379,1.521,1.737,2.307,2.25,0.75,15,0,-1,0,H
15,2,8,15,19,1,15,12,64,0,21,21,0.227246154,1.725,0.374590909,0.295636364,6,6,6,4,14.771,1.725,8.241,6.504,5.5,0.75,40,1,-1,1,H
16,2,8,16,15,6,8,12,39,11,9,29,0.2501,0.217333333,0.4367,0.2923,4,4,4,4,10.004,2.608,4.367,8.769,4,0.75,48,1,-1,1,H
17,2,9,17,6,11,6,5,7,29,14,6,0.36675,0.3389,0.303466667,0.797,2,6,4,6,2.934,10.167,4.552,5.579,4.5,0,18,1,-1,1,H
18,2,9,18,12,6,9,9,23,7,18,24,0.496833333,0.864125,0.480947368,0.36632,5,4,2,4,11.924,6.913,9.138,9.158,3.75,0,15,1,-1,1,H
19,2,10,19,11,1,0,11,45,0,0,20,0.326478261,0.766,1.264,0.293380952,4,4,4,4,15.018,0.766,1.264,6.161,4,0.5,48,1,-1,1,H
20,2,10,20,12,2,12,18,28,1,17,37,0.421482759,1.073,0.580277778,0.277184211,5,5,6,4,12.223,2.146,10.445,10.533,5,0.5,20,1,-1,1,H
21,2,11,21,10,8,5,12,23,11,9,48,0.474333333,0.392583333,0.3936,0.45522449,4,4,4,4,11.384,4.711,3.936,22.306,4,0.5,48,1,-1,1,H
