,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
1,1,1,1,20,19,9,3,196,43,29,3,0.778756345,0.855568182,0.362033333,1.156,5,3,5,4,153.415,37.645,10.861,4.624,4.25,0.25,17,0,-1,0,H
2,1,1,2,20,5,5,3,280,13,7,3,0.345669039,0.365857143,0.89625,0.99125,4,4,4,5,97.133,5.122,7.17,3.965,4.25,0.25,29,0,-1,0,H
3,1,2,3,20,7,5,20,182,15,8,51,0.631251366,0.47925,0.567555556,0.734788462,6,6,6,4,115.519,7.668,5.108,38.209,5.5,0.75,40,0,-1,0,H
4,1,2,4,20,5,11,15,72,5,14,21,0.547260274,0.6495,0.428866667,0.610636364,6,6,6,6,39.95,3.897,6.433,13.434,6,0.75,72,0,-1,0,H
5,1,3,5,20,14,8,4,162,42,14,6,0.636834356,0.313604651,0.923933333,0.446857143,2,2,5,3,103.804,13.485,13.859,3.128,3,0,12,0,-1,0,H
6,1,3,6,20,7,5,13,129,12,10,13,0.755961538,0.552230769,0.626909091,0.647928571,5,2,4,3,98.275,7.179,6.896,9.071,3.5,0,14,0,-1,0,H
7,1,5,9,20,9,6,4,64,13,9,3,0.937015385,0.972642857,0.9799,1.1095,2,6,3,3,60.906,13.617,9.799,4.438,3.5,0,14,1,-1,1,H
8,1,5,10,20,6,3,15,117,6,3,20,0.585508475,0.426857143,0.75175,0.918238095,4,4,5,6,69.09,2.988,3.007,19.283,4.75,0,19,1,-1,1,H
9,1,6,11,20,4,17,12,66,4,33,16,0.669597015,0.6936,0.650441176,0.713588235,4,4,5,5,44.863,3.468,22.115,12.131,4.5,0,18,1,-1,1,H
10,1,6,12,20,2,20,8,88,2,56,12,0.75058427,1.056666667,0.772315789,0.706230769,4,4,5,2,66.802,3.17,44.022,9.181,3.75,0,15,1,-1,1,H
11,1,7,13,20,5,16,15,205,6,66,120,0.280218447,0.437571429,0.362716418,0.382033058,5,5,5,4,57.725,3.063,24.302,46.226,4.75,0.25,34,1,-1,1,H
12,1,7,14,20,6,6,4,102,8,9,6,0.38015534,0.407111111,0.6228,0.446142857,2,5,3,3,39.156,3.664,6.228,3.123,3.25,0.25,13,1,-1,1,H
13,1,8,15,20,14,10,7,130,18,11,9,0.681137405,0.500526316,0.623333333,0.551,4,5,4,3,89.229,9.51,7.48,5.51,4,0,16,1,-1,1,H
