Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,1,2,26.96199999999998,15,111,53,51,15,24,27.876999999999978,1.9519999999999986,5.7949999999999955,9.759999999999993,20,6,16,15,117,6,29,32,4,0,20,5,1,L,0.23826495726495722,0.32533333333333325,0.19982758620689653,0.30499999999999994
1,1,2,1,11,24.82699999999998,20,124,69,71,85,94,33.915999999999976,2.9889999999999977,8.295999999999994,12.56599999999999,20,13,13,17,162,20,32,52,4,0,14,3.5,1,L,0.209358024691358,0.14945,0.25925,0.2416538461538461
1,2,3,1,12,19.214999999999986,20,96,38,47,51,23,19.946999999999985,4.269999999999997,1.524999999999999,3.9649999999999967,20,13,6,11,101,18,7,18,5,0,20,5,1,L,0.19749504950495048,0.2372222222222222,0.21785714285714286,0.22027777777777774
1,2,4,1,3,25.80299999999998,20,99,35,28,26,25,26.22999999999998,0.061,0.122,16.591999999999988,20,1,1,17,102,1,1,71,5,1,60,5,1,L,0.25715686274509797,0.061,0.122,0.2336901408450704
1,3,5,1,8,13.23699999999999,18,63,68,97,48,75,38.24699999999997,1.1589999999999994,0.6099999999999999,0.122,20,5,4,2,164,5,4,2,2,0,14,3.5,1,L,0.23321341463414633,0.2318,0.1525,0.061
1,3,6,1,15,10.186999999999992,15,48,24,89,15,17,12.01699999999999,30.011999999999976,2.561999999999998,2.439999999999998,20,19,9,8,56,122,12,12,6,0.5,39,5.25,1,L,0.2145892857142857,0.24599999999999997,0.21349999999999997,0.20333333333333334
1,4,7,1,15,27.510999999999978,18,148,15,20,19,114,27.876999999999978,1.8909999999999987,3.9649999999999967,0.427,20,4,10,5,150,7,13,5,6,0.5,38,5,1,L,0.18584666666666666,0.27014285714285713,0.30499999999999994,0.0854
1,4,8,1,2,17.201999999999988,19,79,55,12,56,59,18.299999999999986,3.0499999999999976,0.244,3.537999999999997,20,6,2,10,83,7,2,21,4,0.5,30,4.5,1,L,0.22048192771084335,0.43571428571428555,0.122,0.16847619047619047
1,5,9,1,2,38.12499999999997,16,161,43,40,81,106,45.871999999999964,1.585999999999999,3.1719999999999975,0.9759999999999995,20,5,14,7,202,6,17,7,4,0,15,3.75,1,L,0.22708910891089107,0.2643333333333333,0.18658823529411764,0.13942857142857143
1,5,10,1,3,17.628999999999987,19,91,35,26,28,31,21.776999999999983,2.3179999999999983,0.183,0.061,20,10,2,1,112,11,2,1,5,1,60,5,1,L,0.19443749999999999,0.21072727272727274,0.0915,0.061
1,6,11,1,3,27.632999999999978,16,140,35,72,95,71,30.438999999999975,19.763999999999985,1.7079999999999989,0.244,20,19,7,2,153,73,7,2,5,0,16,4,1,L,0.19894771241830064,0.2707397260273972,0.244,0.122
1,6,12,1,15,17.872999999999987,20,84,16,106,75,20,17.933999999999987,10.430999999999992,2.0129999999999986,0.244,20,15,9,2,85,49,10,2,6,0,17,4.25,1,L,0.21098823529411764,0.21287755102040815,0.20129999999999998,0.122
1,7,13,1,7,12.32199999999999,20,74,6,9,12,11,13.23699999999999,0.7929999999999997,0.7319999999999998,14.944999999999988,20,4,6,17,81,4,6,75,6,1,72,6,1,L,0.16341975308641976,0.19824999999999998,0.122,0.19926666666666668
1,7,14,1,12,20.983999999999984,18,103,45,42,16,75,22.264999999999983,2.2569999999999983,8.661999999999994,2.9279999999999977,20,7,14,8,107,10,39,14,5,0,19,4.75,1,L,0.20808411214953268,0.22569999999999998,0.2221025641025641,0.20914285714285713
1,8,15,1,8,25.37599999999998,17,129,97,83,61,10,26.96199999999998,9.027999999999993,6.099999999999995,7.441999999999994,20,15,14,11,134,35,23,20,2,0,15,3.75,1,L,0.20120895522388058,0.25794285714285714,0.2652173913043478,0.37209999999999993
1,8,16,1,13,17.079999999999988,20,99,112,119,113,110,21.471999999999984,0.183,0.6709999999999998,0.244,20,1,4,2,118,1,4,2,2,1,24,2,1,L,0.18196610169491526,0.183,0.16775,0.122
1,9,17,1,13,22.325999999999983,18,112,112,110,43,41,24.52199999999998,3.9649999999999967,0.9759999999999995,8.722999999999994,20,12,5,17,117,13,5,43,2,0,14,3.5,1,L,0.20958974358974358,0.30499999999999994,0.19519999999999998,0.20286046511627906
1,9,18,1,11,27.632999999999978,17,117,6,7,26,99,71.49199999999995,2.744999999999998,0.122,1.3419999999999992,20,12,2,5,283,13,2,6,4,0,19,4.75,1,L,0.25262190812720847,0.21115384615384614,0.061,0.22366666666666665
1,10,19,1,14,46.542999999999964,15,225,91,96,87,50,47.15299999999996,0.244,6.160999999999995,1.585999999999999,18,1,16,5,229,1,25,5,3,0.5,22,3.25,1,L,0.20590829694323143,0.244,0.24644,0.3171999999999999
1,10,20,1,8,19.275999999999986,19,86,4,79,77,5,53.49699999999996,0.7929999999999997,0.7319999999999998,1.0979999999999994,20,4,4,5,210,5,4,5,2,0,18,4.5,1,L,0.254747619047619,0.1586,0.183,0.2196
1,11,21,1,7,29.035999999999976,17,147,3,10,8,46,29.218999999999976,4.391999999999997,0.9759999999999995,2.622999999999998,20,12,6,8,150,21,7,12,6,0.5,41,5.75,1,L,0.19479333333333332,0.20914285714285713,0.13942857142857143,0.21858333333333332
1,11,22,1,15,14.029999999999989,20,79,23,22,18,29,15.188999999999988,1.524999999999999,8.661999999999994,4.940999999999996,20,5,14,10,84,8,41,15,6,0.5,41,5.75,1,L,0.18082142857142858,0.190625,0.21126829268292682,0.32939999999999997
2,1,1,1,15,18.116999999999987,20,90,14,17,19,27,18.177999999999987,7.319999999999994,0.061,4.147999999999997,20,14,1,8,91,28,1,9,6,0.5,41,5.75,1,L,0.19975824175824175,0.2614285714285714,0.061,0.4608888888888887
2,1,2,1,1,20.556999999999984,18,100,8,78,44,100,42.21199999999997,2.0739999999999985,1.0369999999999995,1.8299999999999987,20,6,7,4,175,8,7,5,3,0,16,4,1,L,0.24121142857142855,0.2592499999999999,0.14814285714285713,0.3659999999999998
2,2,3,1,3,24.70499999999998,18,130,75,82,81,2,50.20299999999996,5.855999999999995,24.64399999999998,3.476999999999997,20,15,18,11,240,28,108,16,5,0.5,24,3.75,1,L,0.20917916666666664,0.20914285714285713,0.22818518518518516,0.2173125
2,2,4,1,2,11.89499999999999,20,58,14,57,37,23,52.15499999999996,0.061,0.061,2.561999999999998,20,1,1,6,234,1,1,8,4,0,21,5.25,1,L,0.22288461538461538,0.061,0.061,0.3202499999999999
2,3,5,1,1,18.299999999999986,20,93,58,46,75,60,32.57399999999998,7.807999999999994,0.183,2.805999999999998,20,17,3,7,147,32,3,11,3,0,16,4,1,L,0.22159183673469385,0.24399999999999997,0.061,0.25509090909090903
