Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,4,14.578999999999988,19,84,14,65,97,104,35.135999999999974,1.8909999999999987,0.244,0.488,20,7,2,4,169,9,2,4,2,0,14,3.5,6,L,0.20790532544378695,0.21011111111111108,0.122,0.122
1,1,2,0,10,17.201999999999988,19,87,86,94,96,89,19.153999999999986,0.183,0.9149999999999996,0.9759999999999995,20,2,4,5,92,2,4,5,3,1,36,3,6,L,0.20819565217391303,0.0915,0.22874999999999998,0.19519999999999998
1,2,3,0,10,22.874999999999982,20,114,86,96,34,95,22.935999999999982,0.366,9.271999999999993,1.2199999999999993,20,2,16,4,115,2,36,4,3,0.5,23,3.5,6,L,0.19944347826086956,0.183,0.25755555555555554,0.30499999999999994
1,2,4,0,6,17.933999999999987,17,88,5,9,11,37,19.519999999999985,3.0499999999999976,0.061,0.488,20,10,1,4,92,14,1,4,6,0.5,41,5.75,6,L,0.21217391304347824,0.21785714285714283,0.061,0.122
1,3,5,0,1,23.179999999999982,17,110,83,82,73,41,23.240999999999982,0.061,1.3419999999999992,6.343999999999995,18,1,5,14,111,1,6,30,3,0.5,23,3.5,6,L,0.20937837837837836,0.061,0.22366666666666665,0.21146666666666666
1,3,6,0,6,19.519999999999985,16,100,4,6,7,11,22.447999999999983,1.9519999999999986,4.208999999999997,0.122,20,11,12,1,110,11,20,1,6,1,72,6,6,L,0.20407272727272727,0.17745454545454545,0.21044999999999997,0.122
1,4,7,0,2,17.689999999999987,19,88,53,51,73,57,18.848999999999986,7.258999999999994,3.1719999999999975,8.417999999999994,20,14,5,16,90,35,8,41,4,0.5,27,3.75,6,L,0.2094333333333333,0.20739999999999997,0.3964999999999999,0.2053170731707317
1,4,8,0,6,12.50499999999999,19,62,2,6,3,1,12.68799999999999,1.4029999999999991,2.1959999999999984,6.648999999999995,20,7,10,17,65,7,13,32,6,1,72,6,6,L,0.19519999999999998,0.2004285714285714,0.16892307692307693,0.20778125
1,5,9,0,10,19.946999999999985,19,104,87,43,42,9,20.129999999999985,24.21699999999998,4.452999999999997,8.966999999999993,20,19,13,16,105,114,18,33,3,0,19,4.75,6,L,0.1917142857142857,0.2124298245614035,0.24738888888888888,0.2717272727272727
1,5,10,0,8,55.570999999999955,14,231,117,120,31,110,59.84099999999995,0.366,7.624999999999994,1.8299999999999987,20,2,14,6,250,2,28,8,2,0.5,17,2.75,6,L,0.23936399999999997,0.183,0.27232142857142855,0.22875
