schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.2,replaced,47.54525908,18.83542809,0.06844444444444445,1,1
7,6,0.2,same,50.91984497,22.17450084,0.06844444444444445,1,1
3,5,0.3,same,38.11269084,9.358035718,0.06844444444444445,1,1
5,5,0.3,replaced,29.885084,10.26733847,0.06844444444444445,1,1
2,4,0.4,same,26.22740557,11.11918442,0.06844444444444445,1,1
9,4,0.4,replaced,29.58977965,10.61967136,0.06844444444444445,1,1
1,3,0.6,same,24.40043609,5.181766043,0.06844444444444445,1,1
10,3,0.6,replaced,21.77354907,3.720593243,0.06844444444444445,1,1
4,2,0.9,replaced,12.30300888,4.169477774,0.06844444444444445,1,1
8,2,0.9,same,22.92546818,17.18497774,0.06844444444444445,1,1
6,6,0.3700503629256445,replaced,47.54525908,18.83542809,0.3029866554995779,2,1
7,6,0.36197612227218584,same,50.91984497,22.17450084,0.29087529451938987,2,1
3,5,0.43816747218310204,same,38.11269084,9.358035718,0.2551623193857642,2,1
5,5,0.46448016123923835,replaced,29.885084,10.26733847,0.2946313529699687,2,1
2,4,0.5321157714797351,same,26.22740557,11.11918442,0.24608476833071374,2,1
9,4,0.5198058994862349,replaced,29.58977965,10.61967136,0.2276199603404635,2,1
1,3,0.6557059399911968,same,24.40043609,5.181766043,0.1314700210979063,2,1
10,3,0.6788169382725319,replaced,21.77354907,3.720593243,0.166136518519909,2,1
4,2,0.9071605557216121,replaced,12.30300888,4.169477774,0.05865194469352925,2,1
8,2,0.9044270410895681,same,22.92546818,17.18497774,0.05455167274546321,2,1
6,6,0.3700503629256445,replaced,47.54525908,18.83542809,0.3029866554995779,3,1
7,6,0.22296219621814214,same,50.91984497,22.17450084,0.41213359524463844,3,1
3,5,0.43816747218310204,same,38.11269084,9.358035718,0.2551623193857642,3,1
5,5,0.46448016123923835,replaced,29.885084,10.26733847,0.2946313529699687,3,1
2,4,0.5321157714797351,same,26.22740557,11.11918442,0.24608476833071374,3,1
9,4,0.4619575149630418,replaced,29.58977965,10.61967136,0.24610654902311407,3,1
1,3,0.6557059399911968,same,24.40043609,5.181766043,0.1314700210979063,3,1
10,3,0.6788169382725319,replaced,21.77354907,3.720593243,0.166136518519909,3,1
4,2,0.7167512156315933,replaced,12.30300888,4.169477774,0.32667037142049876,3,1
8,2,0.9044270410895681,same,22.92546818,17.18497774,0.05455167274546321,3,1
6,6,0.3700503629256445,replaced,47.54525908,18.83542809,0.3029866554995779,4,1
7,6,0.22296219621814214,same,50.91984497,22.17450084,0.41213359524463844,4,1
3,5,0.43816747218310204,same,38.11269084,9.358035718,0.2551623193857642,4,1
5,5,0.46448016123923835,replaced,29.885084,10.26733847,0.2946313529699687,4,1
2,4,0.5321157714797351,same,26.22740557,11.11918442,0.24608476833071374,4,1
9,4,0.4619575149630418,replaced,29.58977965,10.61967136,0.24610654902311407,4,1
1,3,0.6557059399911968,same,24.40043609,5.181766043,0.1314700210979063,4,1
10,3,0.7507897737416834,replaced,21.77354907,3.720593243,0.22425481616766363,4,1
4,2,0.7167512156315933,replaced,12.30300888,4.169477774,0.32667037142049876,4,1
8,2,0.9044270410895681,same,22.92546818,17.18497774,0.05455167274546321,4,1
6,6,0.43173674399348017,replaced,47.54525908,18.83542809,0.3046202304514579,5,1
7,6,0.3702588858966316,same,50.91984497,22.17450084,0.5094385511889811,5,1
3,5,0.4947534221188775,same,38.11269084,9.358035718,0.26349254847369813,5,1
5,5,0.5066986761641975,replaced,29.885084,10.26733847,0.26956971946641684,5,1
2,4,0.5608814510851993,same,26.22740557,11.11918442,0.2154078572396959,5,1
9,4,0.5264764074523189,replaced,29.58977965,10.61967136,0.2690529230500954,5,1
1,3,0.6812859712833742,same,24.40043609,5.181766043,0.13039906170680052,5,1
10,3,0.7714167592698968,replaced,21.77354907,3.720593243,0.18791884960968458,5,1
4,2,0.523943403865606,replaced,12.30300888,4.169477774,0.51788097764333,5,1
8,2,0.9286548979649513,same,22.92546818,17.18497774,0.0745279562348991,5,1
6,6,0.43173674399348017,replaced,47.54525908,18.83542809,0.3046202304514579,6,1
7,6,0.3702588858966316,same,50.91984497,22.17450084,0.5094385511889811,6,1
3,5,0.5572493365982512,same,38.11269084,9.358035718,0.2781886556506492,6,1
5,5,0.5066986761641975,replaced,29.885084,10.26733847,0.26956971946641684,6,1
2,4,0.5608814510851993,same,26.22740557,11.11918442,0.2154078572396959,6,1
9,4,0.5264764074523189,replaced,29.58977965,10.61967136,0.2690529230500954,6,1
1,3,0.6812859712833742,same,24.40043609,5.181766043,0.13039906170680052,6,1
10,3,0.6502851694963361,replaced,21.77354907,3.720593243,0.3132405793871204,6,1
4,2,0.523943403865606,replaced,12.30300888,4.169477774,0.51788097764333,6,1
8,2,0.9286548979649513,same,22.92546818,17.18497774,0.0745279562348991,6,1
6,6,0.4520934741612711,replaced,47.54525908,18.83542809,0.24376925656770698,7,1
7,6,0.3702588858966316,same,50.91984497,22.17450084,0.5094385511889811,7,1
3,5,0.5572493365982512,same,38.11269084,9.358035718,0.2781886556506492,7,1
