Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,20.983999999999984,20,110,112,114,111,60,21.898999999999983,1.9519999999999986,2.2569999999999983,0.6709999999999998,20,11,7,2,117,14,9,2,2,0.5,16,2.5,6,L,0.18717094017094016,0.13942857142857143,0.25077777777777777,0.3355
1,1,2,0,1,24.46099999999998,19,114,81,80,73,84,24.94899999999998,0.7929999999999997,0.305,0.061,20,4,4,1,116,4,4,1,3,1,36,3,6,L,0.21507758620689654,0.19824999999999998,0.07625,0.061
1,2,3,0,8,18.116999999999987,20,107,109,112,8,40,20.373999999999985,0.183,7.624999999999994,0.122,20,1,15,1,119,1,28,1,2,0,15,3.75,6,L,0.17121008403361343,0.183,0.27232142857142855,0.122
1,2,4,0,7,20.007999999999985,19,90,70,61,31,32,35.745999999999974,3.781999999999997,4.513999999999997,0.122,20,9,11,2,151,12,18,2,6,0,18,4.5,6,L,0.23672847682119202,0.31516666666666665,0.25077777777777777,0.061
1,3,5,0,3,21.837999999999983,18,99,27,29,26,52,22.630999999999982,1.463999999999999,0.6709999999999998,5.001999999999996,20,6,3,12,101,6,4,20,5,0.5,34,4.75,6,L,0.22406930693069305,0.244,0.16775,0.2501
1,3,6,0,4,32.69599999999998,18,141,100,99,98,69,33.488999999999976,0.183,2.0129999999999986,2.0129999999999986,20,2,10,6,144,2,11,8,2,0.5,16,2.5,6,L,0.23256249999999998,0.0915,0.183,0.251625
1,4,7,0,3,21.410999999999984,20,127,29,31,32,21,21.837999999999983,0.122,1.463999999999999,5.855999999999995,20,1,5,15,129,1,5,26,5,0.5,36,5.25,6,L,0.16928682170542636,0.122,0.29279999999999995,0.2252307692307692
1,4,8,0,6,17.018999999999988,20,84,7,1,3,8,18.787999999999986,3.2329999999999974,2.2569999999999983,1.3419999999999992,20,10,10,7,92,14,15,9,6,1,72,6,6,L,0.20421739130434782,0.23092857142857137,0.15046666666666667,0.1491111111111111
1,5,9,0,2,22.996999999999982,16,106,55,49,22,60,23.72899999999998,1.8909999999999987,3.9649999999999967,1.585999999999999,20,8,8,9,112,14,12,10,4,0.5,30,4.5,6,L,0.21186607142857142,0.13507142857142856,0.33041666666666664,0.1586
1,5,10,0,1,19.092999999999986,14,79,80,78,65,41,19.153999999999986,2.2569999999999983,14.029999999999989,1.3419999999999992,15,9,17,7,80,10,56,7,3,0,15,3.75,6,L,0.23942499999999997,0.22569999999999996,0.25053571428571425,0.1917142857142857
