Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,success_schema,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,35.257999999999974,20,177,37,46,40,66,39.16199999999997,0.8539999999999996,2.3179999999999983,7.807999999999994,20,2,9,14,193,2,10,31,5,0.5,34,4.75,5,6,L,0.20291191709844558,0.42699999999999994,0.23179999999999998,0.25187096774193546
1,1,2,0,1,17.384999999999987,14,72,80,6,79,76,17.445999999999987,3.659999999999997,0.9759999999999995,0.061,15,8,2,1,73,15,3,1,3,0.5,24,3.75,"1,5",6,L,0.23898630136986299,0.244,0.32533333333333325,0.061
1,2,3,0,5,0.061,1,1,79,6,105,2,5.550999999999996,15.188999999999988,0.8539999999999996,9.881999999999993,12,16,3,15,19,75,3,37,5,0,17,4.25,0,6,L,0.21319191919191918,0.2004285714285714,0.2846666666666667,0.26708108108108103
1,2,4,0,3,15.737999999999987,19,83,26,33,29,36,15.920999999999987,0.122,4.330999999999997,3.659999999999997,20,1,10,10,84,1,17,19,5,1,60,5,3,6,L,0.18953571428571428,0.122,0.2547647058823529,0.1926315789473684
1,3,5,0,3,0.488,4,4,34,105,13,76,6.892999999999995,15.554999999999987,1.0369999999999995,0.7929999999999997,17,17,7,3,36,56,7,3,5,0,16,4,0,6,L,0.20629090909090908,0.27088135593220336,0.14814285714285713,0.2643333333333333
1,3,6,0,10,29.645999999999976,16,139,88,92,85,87,29.889999999999976,0.427,0.9759999999999995,2.622999999999998,18,4,4,6,141,4,5,9,3,1,36,3,10,6,L,0.21198581560283686,0.10675,0.19519999999999996,0.29144444444444445
1,4,7,0,2,86.9250000000026,12,360,55,108,52,49,87.4130000000026,1.3419999999999992,2.1349999999999985,1.4029999999999991,16,4,11,7,366,5,15,8,4,0.5,26,3.5,"2,10",6,L,0.23883333333333331,0.26839999999999997,0.14233333333333334,0.175375
1,4,8,0,10,0.183,2,2,94,89,67,86,1.4029999999999994,4.208999999999997,2.0129999999999986,3.476999999999997,7,13,5,14,7,16,7,25,3,0.5,22,3.25,"10,2",6,L,0.23789999999999997,0.29279999999999995,0.266875,0.13908
1,5,9,0,10,22.508999999999983,19,112,86,85,88,95,24.58299999999998,1.463999999999999,0.305,2.1349999999999985,20,8,2,7,122,10,2,7,3,1,36,3,"10,2",6,L,0.20149999999999998,0.1464,0.1525,0.30499999999999994
1,5,10,0,0,0,0,0,74,110,36,34,0.427,0.7929999999999997,2.561999999999998,1.646999999999999,1,5,12,6,1,5,14,6,0,0,15,3.75,10,6,L,0.27259374999999997,0.1586,0.183,0.27449999999999997
2,1,1,0,1,19.580999999999985,19,99,75,77,68,81,19.885999999999985,0.244,2.8669999999999978,7.136999999999994,20,2,4,15,100,2,7,44,3,0.5,22,3.25,1,6,L,0.19885999999999998,0.122,0.4095714285714285,0.16220454545454546
2,1,2,0,4,21.532999999999983,19,100,106,108,98,57,21.593999999999983,0.5489999999999999,5.489999999999996,1.4029999999999991,20,4,13,6,101,4,31,6,2,0.5,16,2.5,"4,1",6,L,0.2138019801980198,0.13724999999999998,0.17709677419354838,0.23383333333333334
2,2,3,0,4,15.737999999999987,20,82,100,107,99,57,18.116999999999987,2.0739999999999985,0.305,6.526999999999995,20,8,2,15,93,11,2,31,2,0.5,16,2.5,"4,1",6,L,0.19480645161290322,0.18854545454545452,0.1525,0.21054838709677415
2,2,4,0,1,25.25399999999998,20,113,80,78,83,81,25.92499999999998,1.1589999999999994,0.366,4.452999999999997,20,6,2,13,115,6,2,21,3,1,36,3,"1,4",6,L,0.22543478260869562,0.19316666666666665,0.183,0.21204761904761904
2,3,5,0,5,77.65300000000153,15,346,48,47,112,39,79.91000000000153,1.1589999999999994,11.040999999999991,0.427,20,4,18,3,355,4,52,3,5,0.5,32,4.25,"5,1,4",6,L,0.22509859154929576,0.28974999999999995,0.21232692307692305,0.14233333333333334
2,3,6,0,4,0.061,1,1,75,103,81,108,22.081999999999983,0.7929999999999997,0.305,0.061,20,3,1,1,93,3,1,1,2,0,10,2.5,5,6,L,0.23189312977099233,0.2643333333333333,0.305,0.061
2,4,7,0,6,38.85699999999997,9,175,3,2,7,56,39.52799999999997,0.7319999999999998,0.6709999999999998,2.9279999999999977,13,1,4,7,181,1,4,12,6,0.5,40,5.5,"6,5",6,L,0.2183867403314917,0.7319999999999998,0.16775,0.244
2,4,8,0,5,7.441999999999994,17,32,22,113,39,37,15.249999999999988,0.8539999999999996,0.6709999999999998,3.9649999999999967,20,1,5,11,63,2,5,16,5,0,18,4.5,6,6,L,0.21217391304347824,0.24769696969696967,0.13419999999999999,0.24781249999999994
2,5,9,0,0,0,0,0,34,78,82,56,0.6709999999999998,1.0979999999999994,0.8539999999999996,0.366,3,4,6,2,3,4,7,2,0,0,15,3.75,0,6,L,0.24754651162790695,0.27449999999999997,0.122,0.183
2,5,10,0,4,28.791999999999977,20,146,17,22,42,108,56.668999999999954,3.476999999999997,0.8539999999999996,0.305,20,12,3,3,254,15,3,3,2,0,19,4.75,0,6,L,0.2231062992125984,0.23179999999999998,0.2846666666666666,0.10166666666666667
3,1,1,0,7,15.371999999999987,17,77,13,24,36,18,15.432999999999987,4.513999999999997,3.1109999999999975,1.2199999999999993,18,12,7,3,78,19,10,4,6,0.5,41,5.75,7,6,L,0.19785897435897434,0.23757894736842103,0.31109999999999993,0.305
3,1,2,0,4,18.482999999999986,12,86,100,104,108,1,18.543999999999986,1.524999999999999,0.305,3.1109999999999975,13,6,2,9,87,6,2,15,2,0.5,18,3,"4,7",6,L,0.2131494252873563,0.25416666666666665,0.1525,0.2074
3,2,3,0,4,0.061,1,1,98,100,104,99,0.488,0.6709999999999998,0.183,0.6709999999999998,3,2,1,2,3,2,1,2,2,1,24,2,4,6,L,0.20148484848484846,0.3354999999999999,0.183,0.33549999999999996
3,2,4,0,1,23.78999999999998,16,124,79,47,74,71,23.91199999999998,8.234999999999994,1.524999999999999,7.624999999999994,17,16,5,13,125,42,7,32,3,0,15,3.75,4,6,L,0.191296,0.19607142857142856,0.21785714285714283,0.23828124999999997
3,3,5,0,1,32.14699999999998,12,143,84,74,79,73,32.51299999999998,2.3179999999999983,0.061,0.8539999999999996,15,11,1,4,146,13,1,5,3,1,36,3,"1,4",6,L,0.2226917808219178,0.1783076923076923,0.061,0.1708
