schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.2,replaced,47.54525908,18.83542809,0.06844444444444445,1,1
7,6,0.2,same,50.91984497,22.17450084,0.06844444444444445,1,1
3,5,0.3,same,38.11269084,9.358035718,0.06844444444444445,1,1
5,5,0.3,replaced,29.885084,10.26733847,0.06844444444444445,1,1
2,4,0.4,same,26.22740557,11.11918442,0.06844444444444445,1,1
9,4,0.4,replaced,29.58977965,10.61967136,0.06844444444444445,1,1
1,3,0.6,same,24.40043609,5.181766043,0.06844444444444445,1,1
10,3,0.6,replaced,21.77354907,3.720593243,0.06844444444444445,1,1
4,2,0.9,replaced,12.30300888,4.169477774,0.06844444444444445,1,1
8,2,0.9,same,22.92546818,17.18497774,0.06844444444444445,1,1
6,6,0.3650772015764795,replaced,47.54525908,18.83542809,0.2955269134758303,2,1
7,6,0.3597341047393858,same,50.91984497,22.17450084,0.2875122682201897,2,1
3,5,0.44745730993085986,same,38.11269084,9.358035718,0.2690970760074009,2,1
5,5,0.43572493807805224,replaced,29.885084,10.26733847,0.25149851822818947,2,1
2,4,0.5262765029763786,same,26.22740557,11.11918442,0.23732586557567895,2,1
9,4,0.4921627572137744,replaced,29.58977965,10.61967136,0.18615524693177266,2,1
1,3,0.6892606645233019,same,24.40043609,5.181766043,0.18180210789606405,2,1
10,3,0.6871866155827415,replaced,21.77354907,3.720593243,0.17869103448522347,2,1
4,2,0.9192945627355897,replaced,12.30300888,4.169477774,0.07685295521449569,2,1
8,2,0.946439648132448,same,22.92546818,17.18497774,0.11757058330978307,2,1
6,6,0.3650772015764795,replaced,47.54525908,18.83542809,0.2955269134758303,3,1
7,6,0.3597341047393858,same,50.91984497,22.17450084,0.2875122682201897,3,1
3,5,0.44745730993085986,same,38.11269084,9.358035718,0.2690970760074009,3,1
5,5,0.3969387520287946,replaced,29.885084,10.26733847,0.23422824183361912,3,1
2,4,0.5262765029763786,same,26.22740557,11.11918442,0.23732586557567895,3,1
9,4,0.4650784234665853,replaced,29.58977965,10.61967136,0.1709351734730245,3,1
1,3,0.6892606645233019,same,24.40043609,5.181766043,0.18180210789606405,3,1
10,3,0.6871866155827415,replaced,21.77354907,3.720593243,0.17869103448522347,3,1
4,2,0.9192945627355897,replaced,12.30300888,4.169477774,0.07685295521449569,3,1
8,2,0.946439648132448,same,22.92546818,17.18497774,0.11757058330978307,3,1
6,6,0.43715948791868237,replaced,47.54525908,18.83542809,0.3149922689463855,4,1
7,6,0.3597341047393858,same,50.91984497,22.17450084,0.2875122682201897,4,1
3,5,0.44745730993085986,same,38.11269084,9.358035718,0.2690970760074009,4,1
5,5,0.3969387520287946,replaced,29.885084,10.26733847,0.23422824183361912,4,1
2,4,0.5262765029763786,same,26.22740557,11.11918442,0.23732586557567895,4,1
9,4,0.4650784234665853,replaced,29.58977965,10.61967136,0.1709351734730245,4,1
1,3,0.6753376366892402,same,24.40043609,5.181766043,0.14814601727833743,4,1
10,3,0.6871866155827415,replaced,21.77354907,3.720593243,0.17869103448522347,4,1
4,2,0.9192945627355897,replaced,12.30300888,4.169477774,0.07685295521449569,4,1
8,2,0.946439648132448,same,22.92546818,17.18497774,0.11757058330978307,4,1
6,6,0.5131905245424382,replaced,47.54525908,18.83542809,0.3345411431981037,5,1
7,6,0.3708464495859149,same,50.91984497,22.17450084,0.21792710502392648,5,1
3,5,0.5415961756797272,same,38.11269084,9.358035718,0.3295762518284816,5,1
5,5,0.528471022564501,replaced,29.885084,10.26733847,0.3612581750870929,5,1
2,4,0.611028423657674,same,26.22740557,11.11918442,0.29325598692491817,5,1
9,4,0.567320122029162,replaced,29.58977965,10.61967136,0.27301716927498226,5,1
1,3,0.7075804889268518,same,24.40043609,5.181766043,0.15206649045125364,5,1
10,3,0.7158250184837408,replaced,21.77354907,3.720593243,0.1680413284911554,5,1
4,2,0.7215807353853783,replaced,12.30300888,4.169477774,0.35036780967546416,5,1
8,2,0.8000293797032118,same,22.92546818,17.18497774,0.3019148109607025,5,1
6,6,0.28803949055383904,replaced,47.54525908,18.83542809,0.5719053512215713,6,1
7,6,0.3708464495859149,same,50.91984497,22.17450084,0.21792710502392648,6,1
3,5,0.5415961756797272,same,38.11269084,9.358035718,0.3295762518284816,6,1
5,5,0.528471022564501,replaced,29.885084,10.26733847,0.3612581750870929,6,1
2,4,0.611028423657674,same,26.22740557,11.11918442,0.29325598692491817,6,1
9,4,0.567320122029162,replaced,29.58977965,10.61967136,0.27301716927498226,6,1
1,3,0.6062000972770779,same,24.40043609,5.181766043,0.2585171307905383,6,1
10,3,0.7158250184837408,replaced,21.77354907,3.720593243,0.1680413284911554,6,1
4,2,0.6541695764411785,replaced,12.30300888,4.169477774,0.3463742051891246,6,1
8,2,0.8000293797032118,same,22.92546818,17.18497774,0.3019148109607025,6,1
6,6,0.28803949055383904,replaced,47.54525908,18.83542809,0.5719053512215713,7,1
7,6,0.3708464495859149,same,50.91984497,22.17450084,0.21792710502392648,7,1
3,5,0.6732350493727679,same,38.11269084,9.358035718,0.4281616868194983,7,1
